folder,proj,eta_v,iters,CV,ports,gen,print
sac-vp,UVP+R,svd,100,0.5,4,FALSE,output_files/output395542.log
sac-vp,UVP+R,svd,100,0.5,4,TRUE,output_files/output941397.log
sac-vp,UVP+R,svd,100,0.1,4,TRUE,output_files/output433682.log
sac-vp,UVP+R,svd,100,0.3,4,TRUE,output_files/output435789.log
sac-vp,UVP+R,svd,100,0.7,4,TRUE,output_files/output436576.log
sac-vp,UVP+R,svd,100,0.9,4,TRUE,output_files/output438130.log
sac-vp,UVP+R,svd,100,0.5,5,TRUE,output_files/output2911752.log
sac-vp,UVP+R,svd,100,0.5,6,TRUE,output_files/output2902477.log
sac-vp,UVP+R,svd,100,0.5,8,TRUE,output_files/output2903609.log
sac-vp,UVP+R,svd,100,0.5,10,TRUE,output_files/output2904656.log
sac-vp,none,svd,100,0.5,4,FALSE,output_files/output422297.log
sac-vp,UVP,svd,10,0.5,4,FALSE,output_files/output429066.log
sac-vp,UVP,svd,25,0.5,4,FALSE,output_files/output428616.log
sac-vp,UVP,svd,50,0.5,4,FALSE,output_files/output428021.log
sac-vp,UVP,svd,100,0.5,4,FALSE,output_files/output423676.log
sac-vp,UVP,svd,150,0.5,4,FALSE,output_files/output426249.log
sac-vp,UVP,svd,200,0.5,4,FALSE,output_files/output425345.log
sac-vp,UVP,svd,250,0.5,4,FALSE,output_files/output427571.log
sac-vp,UVP,svd,300,0.5,4,FALSE,output_files/output1631290.log
sac-vp,UVP,0.1,10,0.5,4,FALSE,output_files/output121157.log
sac-vp,UVP,0.1,25,0.5,4,FALSE,output_files/output122912.log
sac-vp,UVP,0.1,50,0.5,4,FALSE,output_files/output130664.log
sac-vp,UVP,0.1,100,0.5,4,FALSE,output_files/output131312.log
sac-vp,UVP,0.1,150,0.5,4,FALSE,output_files/output132059.log
sac-vp,UVP,0.1,200,0.5,4,FALSE,output_files/output135224.log
sac-vp,UVP,0.1,250,0.5,4,FALSE,output_files/output132309.log
sac-vp,UVP,0.1,300,0.5,4,FALSE,output_files/output64724.log
sac-vp,UVP,0.01,10,0.5,4,FALSE,output_files/output4062031.log
sac-vp,UVP,0.01,25,0.5,4,FALSE,output_files/output4061747.log
sac-vp,UVP,0.01,50,0.5,4,FALSE,output_files/output4087313.log
sac-vp,UVP,0.01,100,0.5,4,FALSE,output_files/output4087961.log
sac-vp,UVP,0.01,150,0.5,4,FALSE,output_files/output4107309.log
sac-vp,UVP,0.01,200,0.5,4,FALSE,output_files/output4108546.log
sac-vp,UVP,0.01,250,0.5,4,FALSE,output_files/output4135295.log
